,make,type,year,engine,mileage,price_in_azn
12506,HOWO, Sinotruk,2011,9.0,140000.0,44000.0
12507,Mercedes, G 63 AMG,2012,5.5,125000.0,119000.0
12508,Toyota, Prado,2007,2.7,179000.0,30500.0
12509,Volkswagen, Passat,2001,1.8,260000.0,7800.0
12510,Hyundai, Santa Fe,2012,2.4,167000.0,31900.0
12511,Opel, Astra,2006,1.4,319000.0,10200.0
12512,BMW, 428,2015,2.0,157000.0,40800.0
12513,Kia, Optima,2015,2.4,216124.0,23500.0
12514,Ford, Transit,1998,2.5,15844.0,21000.0
12515,Hyundai, Grandeur,2012,3.0,164000.0,32500.0
12516,BMW, X5,2012,3.0,230000.0,39500.0
12517,Ford, Transit,1996,2.5,100000.0,7300.0
12518,Hyundai, Elantra,2017,2.0,105171.0,25500.0
12519,Kia, Cerato,2012,1.6,131000.0,23200.0
12520,Mercedes, S 350,2012,3.0,275000.0,50998.299999999996
12521,Toyota, RAV4,2023,2.5,0.0,74460.0
12522,Mercedes, E 220,1993,2.2,358000.0,2500.0
12523,Honda, Civic,2021,1.5,33500.0,36000.0
12524,Iveco, Otoyol,2006,3.9,157000.0,15000.0
12525,MAZ, 54323,1989,15.0,250000.0,14500.0
12526,Audi, Q7,2010,3.0,135000.0,29800.0
12527,Volvo, FH 13,2014,13.0,970000.0,112000.0
12528,Volkswagen, Touareg,2007,3.6,285000.0,16900.0
12529,GAZ, Next A65R52,2023,2.8,0.0,55500.0
12530,Geely, Okavango,2022,1.5,0.0,51900.0
12531,Toyota, Highlander,2022,2.5,0.0,91018.0
12532,Kia, Pride,2012,1.4,150950.0,18200.0
12533,Kia, Optima,2013,2.4,181856.0,19800.0
12534,Toyota, Camry,2021,2.5,17000.0,53210.0
12535,Opel, Astra,2005,1.4,288000.0,10600.0
12536,Mercedes, ML 350,2003,3.7,247430.0,12500.0
12537,Porsche, Macan S,2015,3.0,68000.0,77690.0
12538,Land, Rover RR Sport,2015,3.0,146450.0,67998.3
12539,Land, Rover RR Sport,2014,3.0,75000.0,84150.0
12540,Volvo, FH 13,2014,13.0,970000.0,112000.0
12541,Mercedes, C 200,1995,2.0,250000.0,8500.0
12542,Hyundai, Grandeur,2008,2.7,205000.0,18500.0
12543,Mercedes, 190,1992,1.8,126185.0,6500.0
12544,BMW, 328,2015,2.0,160000.0,30430.0
12545,Ford, Transit,1998,2.5,89000.0,12500.0
12546,Opel, Vectra,2001,2.2,188888.0,6600.0
12547,Toyota, Prius,2012,1.8,185000.0,22500.0
12548,Lexus, NX 200,2022,2.0,0.0,80240.0
12549,Land, Rover RR Sport,2019,3.0,16093.0,144330.0
12550,Ford, Transit,2008,2.4,260000.0,29000.0
12551,Toyota, Prius,2007,1.5,255150.0,12000.0
12552,Land, Rover Range Rover,2003,4.4,144000.0,22000.0
12553,LADA, (VAZ) Niva,2017,1.7,49000.0,18900.0
12554,Hyundai, Accent,2009,1.6,230000.0,9900.0
12555,LADA, (VAZ) 21099,1993,1.5,100000.0,3100.0
12556,LADA, (VAZ) 2107,2005,1.6,27000.0,4700.0
12557,Chevrolet, Cruze,2014,1.4,218000.0,15800.0
12558,Hyundai, Sonata,2011,2.0,147000.0,18800.0
12559,Mercedes, GL 500,2014,4.7,111500.0,82450.0
12560,LADA, (VAZ) 2107,1996,1.5,35486.0,4800.0
12561,Opel, Vectra,1996,1.8,620450.0,5800.0
12562,LADA, (VAZ) Niva,2021,1.7,44000.0,19000.0
12563,Tofas, Sahin,2004,1.6,10000.0,4900.0
12564,Nissan, Tiida,2012,1.5,34220.0,14700.0
12565,Toyota, Highlander,2023,2.5,0.0,105060.0
12566,Volkswagen, Tayron,2022,1.4,0.0,73900.0
12567,Alfa, Romeo Giulia,2022,2.0,0.0,86020.0
12568,Mercedes, E 350,2009,3.5,194000.0,32000.0
12569,Toyota, Land Cruiser,2013,4.0,132000.0,69020.0
12570,Mercedes, S 350 d 4Matic,2021,3.0,24000.0,309400.0
12571,Toyota, Prado,2010,4.0,317000.0,49810.0
12572,Chevrolet, Malibu,2018,1.5,94000.0,19950.0
12573,BMW, X3,2011,3.0,36000.0,49810.0
12574,Chevrolet, Malibu,2016,1.5,113000.0,18400.0
12575,Mercedes, C 300,2016,2.0,69000.0,54230.0
12576,Hyundai, Sonata,2011,2.0,147000.0,18800.0
12577,Mercedes, GL 500,2014,4.7,111500.0,82450.0
12578,LADA, (VAZ) 2107,1996,1.5,35486.0,4800.0
12579,Opel, Vectra,1996,1.8,620450.0,5800.0
12580,LADA, (VAZ) Niva,2021,1.7,44000.0,19000.0
12581,Tofas, Sahin,2004,1.6,10000.0,4900.0
12582,Chevrolet, Cruze,2012,1.8,165000.0,13200.0
12583,Mazda, 6,2014,2.5,121000.0,28900.0
12584,Renault, Tondar,2013,1.6,450000.0,8000.0
12585,Mercedes, C 200,1999,2.0,319163.0,17500.0
12586,Ford, Transit,2007,2.4,457000.0,25600.0
12587,Mercedes, Vito 115,2010,2.2,419500.0,27300.0
12588,Mercedes, GL 550,2008,5.5,110000.0,36550.0
12589,LADA, (VAZ) Niva,2019,1.7,63000.0,15800.0
12590,DAF, 105 XF,2012,13.0,1100000.0,51500.0
12591,Audi, A6,2013,3.0,185000.0,34500.0
12592,BMW, 520,1997,2.0,247000.0,8000.0
12593,Land, Rover Range Rover,2014,5.0,110608.0,132600.0
12594,Hyundai, Santa Fe,2008,2.7,250000.0,21000.0
12595,Toyota, Prius,2010,1.8,264000.0,20500.0
12596,Nissan, Kicks,2021,1.6,10000.0,34800.0
12597,Ford, Transit,2008,2.2,178000.0,28400.0
12598,MAN, LE 12.220,2012,4.5,29000.0,53000.0
12599,Audi, Q7,2006,4.2,218000.0,17000.0
12600,Toyota, Camry,2022,2.5,0.0,67998.3
12601,Jetour, X70,2022,1.5,0.0,39800.0
12602,Toyota, Land Cruiser,2013,4.0,136092.0,66198.0
12603,Porsche, 911 Carrera 4S,2019,3.0,10500.0,246500.0
12604,GMC, Terrain,2020,1.5,55000.0,40000.0
12605,Skoda, Kodiaq,2021,1.4,37000.0,57000.0
12606,Hyundai, Accent,2013,1.4,84500.0,19500.0
12607,Toyota, C-HR,2019,2.0,26000.0,42500.0
12608,Mercedes, 612 D,2000,2.9,357890.0,16800.0
12609,BMW, 640,2018,3.0,110000.0,80750.0
12610,Land, Rover Range Rover,2014,5.0,128000.0,115600.0
12611,Mercedes, E 200,2016,2.0,68881.0,79560.0
12612,Audi, Q7,2006,4.2,218000.0,17000.0
12613,BMW, X5,2013,3.0,168000.0,42160.0
12614,Mercedes, S 500,2013,4.7,162500.0,75990.0
12615,Mercedes, C 220,2008,2.2,295000.0,23400.0
12616,Hyundai, i30,2008,1.6,285000.0,14800.0
12617,Ford, Transit,2008,2.4,214800.0,27500.0
12618,Opel, Astra,2011,1.4,180000.0,16800.0
12619,Toyota, Prado,2008,4.0,238000.0,41700.0
12620,GAZ, 2757,1998,2.5,190000.0,7500.0
12621,Chevrolet, Aveo,2010,1.4,250000.0,9000.0
12622,Kia, Sportage,2006,2.0,210000.0,17900.0
12623,Volvo, V70,2014,3.0,182000.0,25000.0
12624,Mercedes, Sprinter 312,1999,2.9,140000.0,20200.0
12625,Mercedes, C 220,1999,2.2,255000.0,13200.0
12626,Ford, Transit,1998,2.5,450000.0,13200.0
12627,Chevrolet, Cruze,2014,1.4,236000.0,14000.0
12628,Hyundai, Elantra,2017,2.0,59000.0,28800.0
12629,Hyundai, i30,2013,1.4,219000.0,17900.0
12630,Volkswagen, Passat,2001,1.8,165000.0,6600.0
12631,Mercedes, E 240,1998,2.4,350000.0,12500.0
12632,BMW, X5,2013,3.0,146318.0,51850.0
12633,Hyundai, Accent,2021,1.6,29000.0,31000.0
12634,LADA, (VAZ) 2107,1998,1.6,25000.0,2600.0
12635,Toyota, Prius,2011,1.8,233000.0,18700.0
12636,Opel, Astra,1998,1.8,265500.0,7500.0
12637,Hyundai, Elantra,2023,1.6,0.0,43900.0
12638,Haval, H6,2022,2.0,0.0,54900.0
12639,Skywell, ET5,2022,0.0,0.0,89505.0
12640,Hyundai, ix35,2015,2.0,104607.0,29300.0
12641,Suzuki, Swift,2012,1.3,81000.0,14500.0
12642,Land, Rover RR Sport,2008,4.2,128000.0,30600.0
12643,BMW, X5,2006,4.8,350000.0,22500.0
12644,Mercedes, ML 350,2012,3.0,281000.0,48450.0
12645,Land, Rover Range Rover,2012,5.0,114600.0,54910.0
12646,Lexus, LX 570,2016,5.7,42000.0,176800.0
12647,KamAz, 65117,1987,11.0,150000.0,21000.0
12648,Mercedes, C 240,1998,2.4,254513.0,12200.0
12649,Toyota, Camry,2007,3.5,272698.0,19450.0
12650,Land, Rover RR Sport,2011,3.0,230000.0,46750.0
12651,LADA, (VAZ) 2107,2007,1.6,50000.0,7200.0
12652,Land, Rover RR Sport,2015,3.0,100000.0,94443.5
12653,Honda, Pilot,2009,3.5,336000.0,25000.0
12654,BMW, 320,2006,2.0,277000.0,13400.0
12655,Fiat, Doblo,2006,1.4,290000.0,10700.0
12656,Toyota, Prado,2007,4.0,215000.0,31875.0
12657,LADA, (VAZ) 2104,2008,1.5,145100.0,8200.0
12658,Toyota, Camry,2018,2.5,187000.0,45050.0
12659,Chevrolet, Lacetti,2008,1.6,87370.0,13300.0
12660,LADA, (VAZ) 2107,2007,1.7,25469.0,6500.0
12661,Kia, Optima,2012,2.0,265000.0,22300.0
12662,Hyundai, Sonata,2014,2.0,198000.0,23000.0
12663,LADA, (VAZ) 2106,1984,1.5,33586.0,4150.0
12664,Opel, Astra,1998,1.6,328000.0,7700.0
